id,created_at,text
1.21452E+18,07/01/2020 11:59,RT @LindseyGrahamSC: I will oppose any War Powers resolution pushed by @SpeakerPelosi so as to allow this President to have the latitude he…
1.21452E+18,07/01/2020 12:00,RT @LindseyGrahamSC: I very much support Senator @tedcruz's resolution in support of President @realDonaldTrump's decision to take out Iran…
1.21452E+18,07/01/2020 12:00,RT @LindseyGrahamSC: @tedcruz @realDonaldTrump I’ll be interested to see if the hatred of President Trump prevents Democrats from recognizi…
1.21452E+18,07/01/2020 12:00,"RT @LindseyGrahamSC: President @realDonaldTrump’s National security team — @VP Pence, @SecPompeo, @EsperDoD, and national security advisor…"
1.21452E+18,07/01/2020 12:01,"RT @LindseyGrahamSC: When it comes to the death of General Soleimani, there is no one to blame but himself.

He effectively signed his own…"
1.21452E+18,07/01/2020 12:02,"RT @LindseyGrahamSC: President @realDonaldTrump took decisive, preemptive action to foil a plot directed at American personnel.

As to what…"
1.21452E+18,07/01/2020 12:02,"RT @LindseyGrahamSC: We killed the most powerful man in Tehran short of the Ayatollah.  

This was not an act of revenge for what he had do…"
1.21452E+18,07/01/2020 12:11,"RT @JudgeJeanine: .@RepMarkMeadows joined me to talk about the latest on Iran, take a look: https://t.co/H7abiJHyEe"
1.21452E+18,07/01/2020 12:12,"RT @RepMarkMeadows: I think the vast majority agree killing 600+ Americans is well beyond justification to say: enough is enough. 

And yet…"
1.21454E+18,07/01/2020 13:27,Great interview with @GOPLeader Kevin McCarthy on @foxandfriends. “There was no urgency with the Articles of Impeachment because there was no case.”
1.21462E+18,07/01/2020 19:05,"Had a very good meeting with @kbsalsaud of Saudi Arabia. We discussed Trade, Military, Oil Prices, Security, and Stability in the Middle East!"
1.21474E+18,08/01/2020 02:45,"All is well! Missiles launched from Iran at two military bases located in Iraq. Assessment of casualties &amp; damages taking place now. So far, so good! We have the most powerful and well equipped military anywhere in the world, by far! I will be making a statement tomorrow morning."
1.21495E+18,08/01/2020 16:43,RT @WhiteHouse: LIVE: President @realDonaldTrump Addresses the Nation https://t.co/vRH9gVAD0N
1.21524E+18,09/01/2020 12:04,RT @senatemajldr: There will be no haggling with the House over Senate procedure. We will not cede our authority to try this impeachment. T…
1.21525E+18,09/01/2020 12:30,PRESIDENTIAL HARASSMENT!
1.21527E+18,09/01/2020 13:46,"Breaking News: The Fifth Circuit Court of Appeals just reversed a lower court decision &amp; gave us the go ahead to build one of the largest sections of the desperately needed Southern Border Wall, Four Billion Dollars. Entire Wall is under construction or getting ready to start!"
1.21529E+18,09/01/2020 14:54,"STOCK MARKET AT ALL-TIME HIGH! HOW ARE YOUR 409K’S DOING? 70%, 80%, 90% up? Only 50% up! What are you doing wrong?"
1.21529E+18,09/01/2020 15:00,U.S. Cancer Death Rate Lowest In Recorded History! A lot of good news coming out of this Administration.
1.2153E+18,09/01/2020 15:47,"STOCK MARKET AT ALL-TIME HIGH! HOW ARE YOUR 401K’S DOING? 70%, 80%, 90% up? Only 50% up! What are you doing wrong?"
1.21533E+18,09/01/2020 17:59,Happy National Law Enforcement Appreciation Day! #LESM https://t.co/kNN3RetVvs
1.2154E+18,09/01/2020 22:10,Thank you! https://t.co/SqRmH7vP39
1.2154E+18,09/01/2020 22:12,"RT @JennyGuice: @realDonaldTrump Lord I'm Thankful Each Day,
 
Trump gives us Faith
Trump gives us Virtue
Trump gives us Dignity
Trump give…"
1.2154E+18,09/01/2020 22:12,"RT @MatthewJshow: @realDonaldTrump The choice is clear this November!

Continue with prosperity with President Trump's robust and successfu…"
1.2154E+18,09/01/2020 22:13,"RT @StewardshipAmer: @realDonaldTrump All citizens, including black Americans, should be supporting President @realDonaldTrump; because he…"
1.2154E+18,09/01/2020 22:34,"Smart analysis, I fully agree! https://t.co/0YMU7GunDt"
1.21541E+18,09/01/2020 22:49,95% Approval Rating in the Republican Party. Thank you!
1.21541E+18,09/01/2020 22:55,"Heading to Toledo, Ohio, for first Rally of the year. Tremendous crowd. Here we go for a big 2020 Win!"
1.21545E+18,10/01/2020 01:57,"THANK YOU TOLEDO, OHIO!
https://t.co/PL96KjQWat"
1.21545E+18,10/01/2020 02:04,"Under my administration, we will NEVER make excuses for America’s enemies – we will never hesitate in defending American lives – and we will never stop working to defeat Radical Islamic Terrorism! https://t.co/022PjwhHjs"
1.21546E+18,10/01/2020 02:07,"After years of rebuilding OTHER nations, we are finally rebuilding OUR nation. We are finally putting AMERICA FIRST! #KAG2020 https://t.co/azKL54A6BU"
1.21546E+18,10/01/2020 02:15,"Democrats are now the party of high taxes, high crime, open borders, late-term abortion, socialism, and blatant corruption. The Republican Party is the party of the American Worker, the American Family, and the American Dream! #KAG2020 https://t.co/05XRX2odxN"
1.21562E+18,10/01/2020 12:55,Wow! Thank you Greg. Hope I live up to your expectations. https://t.co/jBWn1ksGo4
1.21562E+18,10/01/2020 13:04,"Great interview this morning by @foxandfriends with some of the fantastic people who attended the big Rally last night in Toledo, Ohio. Thank you. Such amazing energy!"
1.21563E+18,10/01/2020 13:43,RT @SenatorWicker: .@SenateGOP is working to make USMCA a reality. This bipartisan agreement will receive expedited consideration now that…
1.21565E+18,10/01/2020 15:08,"“11,000 points gained in the Dow in the 3 years since the Election of President Trump. Today it may hit 29,000. That has NEVER happened before in that time frame. That has added 12.8 Trillion Dollars to the VALUE of American Business.” @Varneyco @FoxNews  The best is yet to come!"
1.21566E+18,10/01/2020 15:37,She will go down as perhaps the least successful Speaker in U.S. History! https://t.co/aTCkFW3pr4
1.21578E+18,10/01/2020 23:32,Will be interviewed tonight by Laura @IngrahamAngle at 10pmE on @FoxNews. Enjoy!
1.21583E+18,11/01/2020 03:06,RT @realDonaldTrump: Will be interviewed tonight by Laura @IngrahamAngle at 10pmE on @FoxNews. Enjoy!
1.21586E+18,11/01/2020 04:44,"RT @realDonaldTrump: “11,000 points gained in the Dow in the 3 years since the Election of President Trump. Today it may hit 29,000. That h…"
1.21586E+18,11/01/2020 04:52,"RT @WhiteHouse: ""As long as I am President of the United States, Iran will never be allowed to have a nuclear weapon."" https://t.co/7lzGY5f…"
1.21586E+18,11/01/2020 04:55,"RT @sendavidperdue: Soleimani was a thug and a terrorist, period. For decades, he orchestrated the deaths of countless Americans.

Presiden…"
1.21586E+18,11/01/2020 04:56,"RT @SenTomCotton: Progressive activists in New York have pushed for this criminal leniency at the expense of innocent victims. In New York,…"
1.21599E+18,11/01/2020 13:38,"“FBI Director apologizes for FISA Errors (of which there were far to many to be a coincidence!).” @FoxNews Chris, what about all of the lives that were ruined because of the so-called “errors?” Are these “dirty cops” going to pay a big price for the fraud they committed?"
1.216E+18,11/01/2020 14:07,"Where have the Radical Left, Do Nothing Democrats gone when they have spent the last 3 days defending the life of Qassem Soleimani, one of the worst terrorists in history and the father of the roadside bomb? He was also looking to do big future damage! Dems are “unhinged.”"
1.216E+18,11/01/2020 14:15,New polling shows that the totally partisan Impeachment Hoax is going nowhere. A vast majority want the Do Nothing Democrats to move on to other things now!
1.216E+18,11/01/2020 14:17,Nancy Pelosi will go down as the absolute worst Speaker of the House in U.S. history!
